"","Session","ID","Occasion","TrapID"
"1","1","T25",13,"S12"
"2","1","T25",15,"S3"
"3","1","T34",42,"D15"
"4","1","T35",9,"J45"
"5","1","T37",6,"D16"
"6","1","T37",9,"D17"
"7","1","T1_F",2,"D15"
"8","1","T1_F",7,"D6"
"9","1","T1_F",16,"D23"
"10","1","T1_F",22,"D7"
"11","1","T1_F",22,"D10"
"12","1","T1_F",22,"D19"
"13","1","T1_F",23,"D19"
"14","1","T1_F",24,"D15"
"15","1","T1_F",30,"D5"
"16","1","T1_F",33,"D10"
"17","1","T1_F",36,"D20"
"18","1","T1_F",37,"D15"
"19","1","T1_F",38,"D23"
"20","1","T1_F",39,"D23"
"21","1","T1_F",42,"D6"
"22","1","T1_F",42,"D15"
"23","1","T1_F",44,"D5"
"24","1","T2_F",9,"N7"
"25","1","T2_F",18,"N9"
"26","1","T2_F",31,"N7"
"27","1","T2_F",31,"N19"
"28","1","T2_F",33,"N11"
"29","1","T2_F",34,"N6"
"30","1","T2_F",34,"N7"
"31","1","T2_F",37,"N7"
"32","1","T2_F",43,"N22"
"33","1","T3_M",6,"N21"
"34","1","T3_M",7,"N21"
"35","1","T3_M",10,"N11"
"36","1","T3_M",13,"N21"
"37","1","T3_M",16,"N6"
"38","1","T3_M",16,"N8"
"39","1","T3_M",17,"N11"
"40","1","T3_M",20,"N9"
"41","1","T3_M",20,"N10"
"42","1","T3_M",26,"N19"
"43","1","T3_M",30,"N21"
"44","1","T3_M",31,"N6"
"45","1","T3_M",31,"N7"
"46","1","T3_M",31,"N8"
"47","1","T3_M",33,"N7"
"48","1","T3_M",33,"N9"
"49","1","T3_M",33,"N11"
"50","1","T3_M",47,"N6"
"51","1","T3_M",47,"N7"
"52","1","T3_M",47,"N9"
"53","1","T3_M",47,"N10"
"54","1","T4_M",1,"N2"
"55","1","T4_M",8,"N12"
"56","1","T4_M",8,"N13"
"57","1","T4_M",15,"N2"
"58","1","T4_M",18,"N12"
"59","1","T4_M",18,"N13"
"60","1","T4_M",19,"N12"
"61","1","T4_M",19,"N13"
"62","1","T4_M",19,"N14"
"63","1","T4_M",21,"N12"
"64","1","T4_M",21,"N13"
"65","1","T4_M",24,"N12"
"66","1","T4_M",24,"N14"
"67","1","T4_M",35,"N12"
"68","1","T4_M",35,"N13"
"69","1","T4_M",35,"N14"
"70","1","T5_M",3,"D22"
"71","1","T5_M",3,"J15"
