station,Y,X,Deployment,Retrieving
N1,3228159.779,371815.5226,20-02-2022,"14-04-2022
"
N2,3227173.506,372664.2091,20-02-2022,"14-04-2022
"
N3,3225845.064,373951.88,20-02-2022,"14-04-2022
"
N4,3226157.785,375586.3248,21-02-2022,"14-04-2022
"
N6,3227879.966,375913.8707,21-02-2022,"10-04-2022
"
N7,3227219.201,377439.4524,21-02-2022,"10-04-2022
"
N8,3226515.659,378230.0779,21-02-2022,"10-04-2022
"
N9,3225926.341,378646.9547,21-02-2022,"10-04-2022
"
N10,3224836.827,379295.5851,21-02-2022,"10-04-2022
"
N11,3225670.661,380564.6737,21-02-2022,"10-04-2022
"
N12,3228244.767,374587.5555,22-02-2022,"10-04-2022
"
N13,3228585.783,373644.1337,22-02-2022,"10-04-2022
"
N14,3229050.097,372776.4286,22-02-2022,"10-04-2022
"
N15,3228058.009,376785.4649,22-02-2022,"10-04-2022
"
N16,3225161.877,384729.4742,25-02-2022,"10-04-2022
"
N17,3224484.994,384391.0706,25-02-2022,"10-04-2022
"
N18,3224487.914,383466.0712,25-02-2022,"10-04-2022
"
N19,3225425.48,383117.7445,25-02-2022,"10-04-2022
"
N20,3225280.763,381381.0032,25-02-2022,"10-04-2022
"
N21,3225669.037,382384.8219,25-02-2022,"10-04-2022
"
N22,3225684.309,381656.3753,25-02-2022,"10-04-2022
"
N23,3225143.95,382707.7465,25-02-2022,"10-04-2022
"
D1,3224130.005,384610.9781,25-02-2022,"11-04-2022
"
D2,3223560.057,385270.0717,25-02-2022,"11-04-2022
"
D3,3223998.772,386560.5812,26-02-2022,"11-04-2022
"
D4,3224190.173,386971.6266,26-02-2022,"11-04-2022
"
D5,3225534.551,389162.2559,26-02-2022,"11-04-2022
"
D6,3224630.745,388576.9902,27-02-2022,"11-04-2022
"
D7,3224529.557,388271.5064,27-02-2022,"11-04-2022
"
D8,3223467.828,388510.2099,27-02-2022,"11-04-2022
"
D9,3223007.645,388426.9175,27-02-2022,"11-04-2022
"
D10,3225036.839,389209.3695,27-02-2022,"11-04-2022
"
D11,3223235.292,396953.1389,27-02-2022,"12-04-2022
"
D12,3223252.891,395858.77,27-02-2022,"12-04-2022
"
D13,3223117.425,394751.1001,27-02-2022,"12-04-2022
"
D14,3223117.981,393658.4472,27-02-2022,"12-04-2022
"
D15,3226015.404,391048.5052,27-02-2022,"10-04-2022
"
D16,3224814.243,396042.0795,28-02-2022,"12-04-2022
"
D17,3224946.973,394977.1265,28-02-2022,"12-04-2022
"
D18,3224966.427,393472.4198,28-02-2022,"12-04-2022
"
D19,3225238.672,392359.7951,28-02-2022,"12-04-2022
"
D20,3225323.308,391871.7822,28-02-2022,"12-04-2022
"
D21,3226179.567,393819.8325,28-02-2022,"12-04-2022
"
D22,3227004.721,392546.3546,28-02-2022,"11-04-2022
"
D23,3226934.466,391284.262,28-02-2022,"10-04-2022
"
J1,3217161.181,383359.8893,06-03-2022,"19-04-2022
"
J2,3218669.1,383674.5301,06-03-2022,"20-04-2022
"
J3,3218201.318,383936.9276,06-03-2022,"20-04-2022
"
J4,3219938.567,382078.5697,06-03-2022,"13-04-2022
"
J5,3217483.669,385726.2259,06-03-2022,"16-04-2022
"
J6,3218468.182,384854.8672,06-03-2022,"16-04-2022
"
J7,3219552.59,384371.2789,06-03-2022,"16-04-2022
"
J8,3216942.559,384675.9505,06-03-2022,"15-04-2022
"
J9,3221877.159,386290.3424,07-03-2022,"13-05-2022
"
J10,3221144.153,384788.4877,07-03-2022,"13-05-2022
"
J11,3221945.319,384036.1953,07-03-2022,"13-05-2022
"
J12,3221483.974,381650.0797,07-03-2022,"21-04-2022
"
J13,3222190.537,389368.7994,07-03-2022,"11-05-2022
"
J14,3222137.114,390089.6813,07-03-2022,"18-04-2022
"
J15,3223171.648,390641.2173,07-03-2022,"11-05-2022
"
