"","station","Species","Individual","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"1","D101","experiment_2023","T10",2023-04-12 01:06:30,2023-04-12,"01:06:30",0,0,0,0,"2023/experiment_2023/D101/T10","D101_A_I__00023_2023.JPG",1
"2","D101","experiment_2023","T10",2023-05-13 06:50:18,2023-05-13,"06:50:18",2699028,44983.8,749.7,31.2,"2023/experiment_2023/D101/T10","D101_A_I__00118_2023.JPG",4
"3","D101","experiment_2023","T11",2023-04-12 22:12:46,2023-04-12,"22:12:46",0,0,0,0,"2023/experiment_2023/D101/T11","D101_A_I__00024_2023.JPG",1
"4","D101","experiment_2023","T11",2023-04-13 02:07:16,2023-04-13,"02:07:16",14070,234.5,3.9,0.2,"2023/experiment_2023/D101/T11","D101_A_I__00025_2023.JPG",2
"5","D101","experiment_2023","T6",2023-04-25 08:58:08,2023-04-25,"08:58:08",0,0,0,0,"2023/experiment_2023/D101/T6","D101_A_I__00032_2023.JPG",15
"6","D101","experiment_2023","T6",2023-04-26 09:33:12,2023-04-26,"09:33:12",88504,1475.1,24.6,1,"2023/experiment_2023/D101/T6","D101_A_I__00058_2023.JPG",13
"7","D101","experiment_2023","T6",2023-04-29 19:22:46,2023-04-29,"19:22:46",294574,4909.6,81.8,3.4,"2023/experiment_2023/D101/T6","D101_A_I__00080_2023.JPG",2
"8","D101","experiment_2023","T6",2023-05-01 02:12:40,2023-05-01,"02:12:40",110994,1849.9,30.8,1.3,"2023/experiment_2023/D101/T6","D101_A_I__00082_2023.JPG",2
"9","D101","experiment_2023","T8",2023-04-16 02:43:50,2023-04-16,"02:43:50",0,0,0,0,"2023/experiment_2023/D101/T8","D101_A_I__00026_2023.JPG",2
"10","D101","experiment_2023","T8",2023-04-18 00:01:16,2023-04-18,"00:01:16",163046,2717.4,45.3,1.9,"2023/experiment_2023/D101/T8","D101_A_I__00027_2023.JPG",2
"11","D101","experiment_2023","T8",2023-04-25 08:57:20,2023-04-25,"08:57:20",636964,10616.1,176.9,7.4,"2023/experiment_2023/D101/T8","D101_A_I__00028_2023.JPG",4
"12","D101","experiment_2023","T8",2023-04-25 08:58:36,2023-04-25,"08:58:36",76,1.3,0,0,"2023/experiment_2023/D101/T8","D101_B_I__00040_2023.JPG",1
"13","D101","experiment_2023","T8",2023-04-27 18:50:18,2023-04-27,"18:50:18",208302,3471.7,57.9,2.4,"2023/experiment_2023/D101/T8","D101_A_I__00079_2023.JPG",2
"14","D101","experiment_2023","T9",2023-05-09 03:26:16,2023-05-09,"03:26:16",0,0,0,0,"2023/experiment_2023/D101/T9","D101_A_I__00091_2023.JPG",1
"15","D102","experiment_2023","T10",2023-04-12 01:29:34,2023-04-12,"01:29:34",0,0,0,0,"2023/experiment_2023/D102/T10","D102_B_I__00051_2023.JPG",2
"16","D102","experiment_2023","T10",2023-04-27 06:12:58,2023-04-27,"06:12:58",1313004,21883.4,364.7,15.2,"2023/experiment_2023/D102/T10","D102_B_I__00110_2023.JPG",4
"17","D102","experiment_2023","T11",2023-04-17 23:26:12,2023-04-17,"23:26:12",0,0,0,0,"2023/experiment_2023/D102/T11","D102_B_I__00085_2023.JPG",2
"18","D104","experiment_2023","T7",2023-04-16 20:54:30,2023-04-16,"20:54:30",0,0,0,0,"2023/experiment_2023/D104/T7","D104_A_I__00082_2023.JPG",2
"19","D104","experiment_2023","T7",2023-04-25 12:45:34,2023-04-25,"12:45:34",748264,12471.1,207.9,8.7,"2023/experiment_2023/D104/T7","D104_B_I__00058_2023.JPG",3
"20","D104","experiment_2023","T7",2023-05-10 07:37:02,2023-05-10,"07:37:02",1277488,21291.5,354.9,14.8,"2023/experiment_2023/D104/T7","D104_B_I__00150_2023.JPG",2
"21","D105","experiment_2023","T8",2023-05-14 21:46:08,2023-05-14,"21:46:08",0,0,0,0,"2023/experiment_2023/D105/T8","D105_A_I__02002_2023.JPG",1
"22","D123","experiment_2023","T10",2023-04-11 21:51:52,2023-04-11,"21:51:52",0,0,0,0,"2023/experiment_2023/D123/T10","D123_B_I__00117_2023.JPG",2
"23","D123","experiment_2023","T8",2023-04-26 15:42:46,2023-04-26,"15:42:46",0,0,0,0,"2023/experiment_2023/D123/T8","D123_B_I__00329_2023.JPG",5
"24","D123","experiment_2023","T9",2023-04-19 19:59:22,2023-04-19,"19:59:22",0,0,0,0,"2023/experiment_2023/D123/T9","D123_B_I__00308_2023.JPG",2
"25","D124","experiment_2023","T9",2023-04-28 22:10:46,2023-04-28,"22:10:46",0,0,0,0,"2023/experiment_2023/D124/T9","D124_B_I__00033_2023.JPG",2
"26","D124","experiment_2023","T9",2023-04-30 18:00:24,2023-04-30,"18:00:24",157778,2629.6,43.8,1.8,"2023/experiment_2023/D124/T9","D124_B_I__00034_2023.JPG",2
"27","D124","experiment_2023","T9",2023-05-08 18:12:58,2023-05-08,"18:12:58",691954,11532.6,192.2,8,"2023/experiment_2023/D124/T9","D124_B_I__00048_2023.JPG",3
"28","D125","experiment_2023","T12",2023-04-18 00:20:10,2023-04-18,"00:20:10",0,0,0,0,"2023/experiment_2023/D125/T12","D125_A_I__00202_2023.JPG",2
"29","D125","experiment_2023","T16",2023-05-07 19:16:36,2023-05-07,"19:16:36",0,0,0,0,"2023/experiment_2023/D125/T16","D125_A_I__02303_2023.JPG",2
"30","D125","experiment_2023","T32",2023-04-18 00:20:32,2023-04-18,"00:20:32",0,0,0,0,"2023/experiment_2023/D125/T32","D125_A_I__00203_2023.JPG",1
"31","D125","experiment_2023","T32",2023-04-18 03:13:00,2023-04-18,"03:13:00",10348,172.5,2.9,0.1,"2023/experiment_2023/D125/T32","D125_A_I__00204_2023.JPG",2
"32","D125","experiment_2023","T9",2023-04-16 21:43:24,2023-04-16,"21:43:24",0,0,0,0,"2023/experiment_2023/D125/T9","D125_A_I__00201_2023.JPG",2
"33","D125","experiment_2023","T9",2023-04-28 21:55:06,2023-04-28,"21:55:06",1037502,17291.7,288.2,12,"2023/experiment_2023/D125/T9","D125_A_I__02083_2023.JPG",1
"34","D127","experiment_2023","T10",2023-04-10 03:33:22,2023-04-10,"03:33:22",0,0,0,0,"2023/experiment_2023/D127/T10","D127_A_I__00051_2023.JPG",2
"35","D127","experiment_2023","T9",2023-04-13 01:23:36,2023-04-13,"01:23:36",0,0,0,0,"2023/experiment_2023/D127/T9","D127_B_I__00093_2023.JPG",2
"36","D127","experiment_2023","T9",2023-04-23 03:08:26,2023-04-23,"03:08:26",870290,14504.8,241.7,10.1,"2023/experiment_2023/D127/T9","D127_B_I__00120_2023.JPG",2
"37","D127","experiment_2023","T9",2023-05-01 04:54:48,2023-05-01,"04:54:48",697582,11626.4,193.8,8.1,"2023/experiment_2023/D127/T9","D127_B_I__00122_2023.JPG",1
"38","D127","experiment_2023","T9",2023-05-11 07:45:20,2023-05-11,"07:45:20",874232,14570.5,242.8,10.1,"2023/experiment_2023/D127/T9","D127_B_I__00143_2023.JPG",3
"39","D127","experiment_2023","T9",2023-05-11 14:29:24,2023-05-11,"14:29:24",24244,404.1,6.7,0.3,"2023/experiment_2023/D127/T9","D127_B_I__00146_2023.JPG",2
"40","D129","experiment_2023","T13",2023-04-23 04:50:32,2023-04-23,"04:50:32",0,0,0,0,"2023/experiment_2023/D129/T13","D129_A_I__00012_2023.JPG",1
"41","D130","experiment_2023","T13",2023-04-07 05:11:40,2023-04-07,"05:11:40",0,0,0,0,"2023/experiment_2023/D130/T13","D130_A_I__00032_2023.JPG",1
"42","D130","experiment_2023","T13",2023-04-16 20:08:12,2023-04-16,"20:08:12",831392,13856.5,230.9,9.6,"2023/experiment_2023/D130/T13","D130_A_I__00258_2023.JPG",2
"43","D130","experiment_2023","T13",2023-04-16 20:14:26,2023-04-16,"20:14:26",374,6.2,0.1,0,"2023/experiment_2023/D130/T13","D130_B_I__00148_2023.JPG",1
"44","D130","experiment_2023","T13",2023-04-21 03:05:31,2023-04-21,"03:05:31",370265,6171.1,102.9,4.3,"2023/experiment_2023/D130/T13","D130_A_I__00296_2023.JPG",2
"45","D130","experiment_2023","T13",2023-05-01 01:05:41,2023-05-01,"01:05:41",856810,14280.2,238,9.9,"2023/experiment_2023/D130/T13","D130_A_I__00444_2023.JPG",1
"46","D130","experiment_2023","T13",2023-05-11 06:28:54,2023-05-11,"06:28:54",883393,14723.2,245.4,10.2,"2023/experiment_2023/D130/T13","D130_A_I__00499_2023.JPG",2
"47","D145","experiment_2023","T10",2023-05-02 01:43:54,2023-05-02,"01:43:54",0,0,0,0,"2023/experiment_2023/D145/T10","D145_A_I__00664_2023.JPG",2
"48","D145","experiment_2023","T12",2023-04-23 08:05:02,2023-04-23,"08:05:02",0,0,0,0,"2023/experiment_2023/D145/T12","D145_A_I__00366_2023.JPG",2
"49","D145","experiment_2023","T12",2023-04-23 09:36:34,2023-04-23,"09:36:34",5492,91.5,1.5,0.1,"2023/experiment_2023/D145/T12","D145_A_I__00368_2023.JPG",4
"50","D145","experiment_2023","T12",2023-04-30 03:22:44,2023-04-30,"03:22:44",582370,9706.2,161.8,6.7,"2023/experiment_2023/D145/T12","D145_A_I__00454_2023.JPG",2
"51","D145","experiment_2023","T12",2023-04-30 17:52:08,2023-04-30,"17:52:08",52164,869.4,14.5,0.6,"2023/experiment_2023/D145/T12","D145_A_I__00643_2023.JPG",3
"52","D145","experiment_2023","T12",2023-04-30 18:24:50,2023-04-30,"18:24:50",1962,32.7,0.5,0,"2023/experiment_2023/D145/T12","D145_B_I__00740_2023.JPG",2
"53","D145","experiment_2023","T12",2023-04-30 19:49:54,2023-04-30,"19:49:54",5104,85.1,1.4,0.1,"2023/experiment_2023/D145/T12","D145_B_I__00742_2023.JPG",1
"54","D145","experiment_2023","T12",2023-05-01 18:58:06,2023-05-01,"18:58:06",83292,1388.2,23.1,1,"2023/experiment_2023/D145/T12","D145_B_I__00748_2023.JPG",1
"55","D145","experiment_2023","T12",2023-05-02 01:42:28,2023-05-02,"01:42:28",24262,404.4,6.7,0.3,"2023/experiment_2023/D145/T12","D145_B_I__00755_2023.JPG",1
"56","D145","experiment_2023","T12",2023-05-06 20:08:16,2023-05-06,"20:08:16",411948,6865.8,114.4,4.8,"2023/experiment_2023/D145/T12","D145_B_I__00840_2023.JPG",1
"57","D145","experiment_2023","T12",2023-05-08 09:30:36,2023-05-08,"09:30:36",134540,2242.3,37.4,1.6,"2023/experiment_2023/D145/T12","D145_B_I__00847_2023.JPG",2
