Y,X,station,Deployment,Retrieving
3227305.975,374453.1836,N152,22-03-2023,24-04-2023
3226048.31,378646.5739,N139,22-03-2023,28-04-2023
3225416.755,383104.0363,N142,23-03-2023,30-04-2023
3224624.94,383486.0589,N121,23-03-2023,28-04-2023
3224498.406,384379.8022,N122,23-03-2023,29-04-2023
3225556.811,384809.7618,N143,23-03-2023,23-04-2023
3225682.329,377943.2571,N138,24-03-2023,28-04-2023
3228050.7,376692.5036,N168,24-03-2023,24-04-2023
3225765.811,373523.7844,N135,25-03-2023,28-04-2023
3228455.15,371566.5589,N165,25-03-2023,27-04-2023
3227166.313,372652.1863,N151,25-03-2023,27-04-2023
3228218.699,374595.482,N167,21-03-2023,24-04-2023
3228609.984,373582.4814,N166,21-03-2023,24-04-2023
3227888.423,375917.5291,N153,22-03-2023,24-04-2023
3227131.007,377505.4584,N154,22-03-2023,28-04-2023
3225560.714,380222.1855,N140,23-03-2023,28-04-2023
3225419.888,382150.7358,N141,23-03-2023,28-04-2023
3225097.594,381488.8166,N120,23-03-2023,28-04-2023
3225061.387,380389.1475,N119,23-03-2023,28-04-2023
3226164.031,375713.9865,N137,25-03-2023,27-04-2023
3226210.977,374864.3084,N136,27-03-2023,27-04-2023
3215738.605,388609.2787,J16,06-02-2023,17-03-2023
3217132.713,388603.3402,J31,06-02-2023,17-03-2023
3218379.554,388814.0136,J48,06-02-2023,22-03-2023
3219703.542,388954.348,J65,06-02-2023,22-03-2023
3214863.897,390608.4646,J2,07-02-2023,16-03-2023
3217778.994,394678.749,J35,08-02-2023,16-03-2023
3218873.905,395274.7252,J52,08-02-2023,16-03-2023
3219845.094,394860.2517,J69,08-02-2023,16-03-2023
3220228.035,395761.0316,J70,08-02-2023,16-03-2023
3221288.104,396049.95,J89,08-02-2023,16-03-2023
3222963.789,396517.5757,J109,09-02-2023,04-04-2023
3223026.903,397137.9031,J110,09-02-2023,04-04-2023
3221977.392,397150.8538,J90,09-02-2023,04-04-2023
3220256.564,397264.8344,J71,09-02-2023,04-04-2023
3217304.563,383463.1831,J27,04-02-2023,16-03-2023
3218544.945,383648.0711,J44,04-02-2023,16-03-2023
3219589.003,383305.3657,J61,04-02-2023,16-03-2023
3217256.987,386215.6764,J29,05-02-2023,26-03-2023
3219018.331,387289.1945,J47,05-02-2023,18-04-2023
3219930.946,387228.0945,J64,05-02-2023,26-03-2023
3217926.419,387102.2757,J30,05-02-2023,19-03-2023
3216942.006,384688.0591,J28,05-02-2023,16-03-2023
3218646.182,386371.5657,J46,05-02-2023,27-03-2023
3219847.271,386052.5663,J63,05-02-2023,27-03-2023
3219685.027,385320.034,J62,05-02-2023,26-03-2023
3218670.196,384632.43,J45,05-02-2023,26-03-2023
3216836.591,391052.674,J32,06-02-2023,24-03-2023
3217356.785,391939.5446,J33,06-02-2023,23-03-2023
3218558.83,390916.217,J49,06-02-2023,24-03-2023
3218560.134,392302.2532,J50,06-02-2023,23-03-2023
3219776.461,392345.7953,J67,06-02-2023,13-03-2023
3216360.178,385355.9065,J13,07-02-2023,19-03-2023
3216053.406,386675.921,J14,07-02-2023,15-03-2023
3215930.429,387801.1309,J15,07-02-2023,16-03-2023
3215733.77,390959.4507,J17,07-02-2023,23-03-2023
3217377.641,394099.7727,J34,08-02-2023,16-03-2023
3218776.384,393829.4562,J51,08-02-2023,16-03-2023
3220154.255,392945.9105,J68,08-02-2023,16-03-2023
3221058.107,392987.4406,J87,08-02-2023,19-03-2023
3216321.638,394456.0657,J20,08-02-2023,16-03-2023
3219013.377,396634.691,J53,09-02-2023,04-04-2023
3218626.672,397495.498,J54,09-02-2023,17-03-2023
3217486.472,398361.3639,J37,09-02-2023,17-03-2023
3216013.213,398301.5843,J22,09-02-2023,17-03-2023
3214597.023,398304.6169,J7,09-02-2023,18-03-2023
3215336.722,392404.4026,J18,10-02-2023,09-03-2023
3215490.662,394082.3582,J19,10-02-2023,16-03-2023
3215809.478,397040.9923,J21,10-02-2023,20-03-2023
3214373.877,396490.6549,J6,10-02-2023,16-03-2023
3214785.106,395134.1947,J5,10-02-2023,16-03-2023
3214903.032,393757.5858,J4,10-02-2023,15-03-2023
3219894.24,382066.5971,J60,14-02-2023,19-03-2023
3221113.395,382699.0435,J79,14-02-2023,19-03-2023
3223207.24,394852.1915,J108,15-02-2023,04-04-2023
3222836.726,393934.209,J107,15-02-2023,04-04-2023
3223394.094,392157.9657,J106,15-02-2023,05-03-2023
3216943.731,398710.8877,J38,10-02-2023,20-03-2023
3215450.253,398682.1291,J23,10-02-2023,18-03-2023
3214363.735,399377.4691,J8,10-02-2023,16-03-2023
3214718.56,400751.439,S9,30-03-2023,06-04-2023
3214459.973,402088.9321,S10,30-03-2023,10-05-2023
3218911.005,403682.1681,S58,30-03-2023,10-05-2023
3220135.877,403368.4008,S75,30-03-2023,29-04-2023
